,0,1,2,3,4,5
0,0,2016,DODGE,DURANGO,"$34,991 ","12,234 miles"
1,0,2014,BMW,X5,"$34,991 ","32,206 miles"
2,1,2014,HONDA,CR-V,"$41,556 ","19,407 miles"
3,0,2016,MAZDA,CX-3 GRAND,"$41,556 ",50 miles
4,0,2013,HONDA,CR-V,"$17,913 ","60,701 miles"
5,0,2015,JEEP,GRAND CHEROKEE LIMITED,"$17,913 ","17,726 miles"
6,0,2014,NISSAN,MURANO,"$24,900 ","33,345 miles"
7,0,2015,JEEP,WRANGLER UNLIMITED,"$24,900 ","47,312 miles"
8,0,2008,HONDA,CR-V,"$13,996 ","133,951 miles"
9,0,2010,JEEP,WRANGLER,"$13,996 ","78,649 miles"
10,0,2017,NISSAN,ROGUE,"$35,991 ","11,535 miles"
11,0,2014,TOYOTA,HIGHLANDER,"$35,991 ","20,600 miles"
12,0,2012,MERCEDES-BENZ,GL-CLASS GL 350,"$23,680 ","78,742 miles"
13,0,2015,DODGE,DURANGO,"$23,680 ","21,997 miles"
15,0,2014,BMW,X3,"$21,995 ","38,810 miles"
16,0,2015,LEXUS,NX,"$26,780 ","25,427 miles"
17,0,2014,FORD,ESCAPE,"$26,780 ","36,590 miles"
18,0,2016,NISSAN,ROGUE,"$32,998 ","7,122 miles"
19,1,2015,HONDA,PILOT,"$14,980 ","34,844 miles"
20,1,2015,HONDA,PILOT,"$14,980 ","33,581 miles"
23,0,2015,NISSAN,ROGUE,"$34,980 ","2,903 miles"
25,1,2014,ACURA,MDX,"$27,295 ","36,514 miles"
26,0,2016,NISSAN,ROGUE,"$27,295 ","1,671 miles"
27,1,2014,HONDA,CR-V,"$26,890 ","30,779 miles"
28,0,2015,NISSAN,ROGUE,"$12,933 ","22,161 miles"
29,0,2015,TOYOTA,HIGHLANDER LE,"$12,933 ","20,580 miles"
30,1,2015,LEXUS,RX 350 F,"$29,995 ","27,521 miles"
31,0,2011,MERCEDES-BENZ,GL-CLASS GL 450,"$29,995 ","94,035 miles"
32,0,2016,JEEP,GRAND CHEROKEE,"$34,998 ","5,123 miles"
33,1,2014,MAZDA,CX-5,"$34,998 ","33,650 miles"
34,1,2015,LEXUS,RX,"$19,990 ","29,660 miles"
35,1,2018,BMW,X4,"$19,990 ","4,745 miles"
36,0,2014,JEEP,WRANGLER UNLIMITED,"$33,991 ","28,073 miles"
37,0,2011,TOYOTA,RAV4,"$33,991 ","78,655 miles"
