,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
1,1,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
2,2,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
3,3,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
4,4,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
5,5,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
6,6,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
7,7,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
8,8,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
9,9,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
10,10,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
11,11,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
12,12,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
13,13,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
14,14,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
15,15,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
16,16,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
17,17,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
18,18,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
19,19,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
20,20,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
21,21,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
22,22,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
23,23,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
24,24,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
25,25,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
26,26,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
27,27,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
28,28,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
29,29,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
30,30,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
31,31,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
32,32,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
33,33,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
34,34,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
35,35,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
36,36,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
37,37,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
38,38,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
39,39,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
40,40,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
41,41,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
42,42,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
43,43,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
44,44,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
45,45,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
46,46,1,2015,ACURA,MDX,43036,"53,040 miles",49872,0.862929098492
47,47,1,2016,ACURA,MDX,11888,"35,477 miles",50122,0.237181277682
48,48,0,2014,ACURA,MDX TECHNOLOGY,11888,"45,234 miles",49397,0.240662388404
49,49,1,2015,ACURA,RDX,28970,"28,447 miles",37645,0.769557710187
50,50,1,2015,ACURA,RDX,28970,"11,917 miles",37645,0.769557710187
51,51,0,2015,ACURA,RDX,36390,"47,950 miles",37645,0.966662239341
52,52,1,2015,ACURA,RDX,29888,"57,452 miles",37645,0.793943418781
53,53,1,2015,ACURA,RDX,26995,"31,813 miles",37645,0.717093903573
54,54,1,2015,ACURA,MDX,31266,"24,892 miles",49872,0.626924927815
55,55,0,2015,ACURA,MDX,31997,"29,825 miles",49872,0.641582451075
56,56,0,2016,ACURA,MDX,31997,"8,801 miles",50122,0.638382347073
