,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,0,2015,AUDI,Q7 PREMIUM,35997,35965,55100,0.653303085299
1,1,1,1,0,2014,AUDI,Q5,35997,55186,44600,0.807107623318
2,2,2,2,0,2015,AUDI,Q5 PREMIUM,25000,53989,46000,0.54347826087
3,3,3,3,0,2017,AUDI,Q3 PREMIUM,25000,8451,32850,0.76103500761
4,4,4,4,0,2015,AUDI,Q7 PREMIUM,26900,37625,55100,0.488203266788
5,5,5,5,0,2017,AUDI,Q7 PREMIUM,26900,9956,52250,0.514832535885
6,6,6,6,0,2015,AUDI,Q5 PREMIUM,31000,39063,46000,0.673913043478
7,7,7,7,0,2014,AUDI,SQ5 PREMIUM,31000,34752,44600,0.695067264574
8,8,8,8,0,2012,AUDI,Q7 PRESTIGE,34477,102506,53100,0.649284369115
9,9,9,9,0,2015,AUDI,Q5,34477,31068,46000,0.7495
10,10,10,10,0,2014,AUDI,Q5,53750,59655,44600,0.79484304933
11,11,11,11,0,2017,AUDI,Q7 PREMIUM,53750,23264,52250,0.97129186603
12,12,12,12,0,2015,AUDI,Q5,29990,24324,46000,0.651956521739
13,13,13,13,0,2015,AUDI,Q5,29990,28703,46000,0.651956521739
14,14,14,14,0,2015,AUDI,Q5,37250,28005,46000,0.809782608696
15,15,15,15,0,2015,AUDI,Q7 PREMIUM,35997,35965,55100,0.653303085299
16,16,16,16,0,2014,AUDI,Q5,35997,55186,44600,0.807107623318
17,17,17,17,0,2015,AUDI,Q5 PREMIUM,25000,53989,46000,0.54347826087
18,18,18,18,0,2017,AUDI,Q3 PREMIUM,25000,8451,32850,0.76103500761
19,19,19,19,0,2015,AUDI,Q7 PREMIUM,26900,37625,55100,0.488203266788
20,20,20,20,0,2017,AUDI,Q7 PREMIUM,26900,9956,52250,0.514832535885
21,21,21,21,0,2015,AUDI,Q5 PREMIUM,31000,39063,46000,0.673913043478
22,22,22,22,0,2014,AUDI,SQ5 PREMIUM,31000,34752,44600,0.695067264574
23,23,23,23,0,2012,AUDI,Q7 PRESTIGE,34477,102506,53100,0.649284369115
24,24,24,24,0,2015,AUDI,Q5,34477,31068,46000,0.7495
25,25,25,25,0,2014,AUDI,Q5,53750,59655,44600,0.79484304933
26,26,26,26,0,2017,AUDI,Q7 PREMIUM,53750,23264,52250,0.97129186603
27,27,27,27,0,2015,AUDI,Q5,29990,24324,46000,0.651956521739
28,28,28,28,0,2015,AUDI,Q5,29990,28703,46000,0.651956521739
29,29,29,29,0,2015,AUDI,Q5,37250,28005,46000,0.809782608696
30,30,30,30,0,2015,AUDI,Q7 PREMIUM,35997,35965,55100,0.653303085299
31,31,31,31,0,2014,AUDI,Q5,35997,55186,44600,0.807107623318
32,32,32,32,0,2015,AUDI,Q5 PREMIUM,25000,53989,46000,0.54347826087
33,33,33,33,0,2017,AUDI,Q3 PREMIUM,25000,8451,32850,0.76103500761
34,34,34,34,0,2015,AUDI,Q7 PREMIUM,26900,37625,55100,0.488203266788
35,35,35,35,0,2017,AUDI,Q7 PREMIUM,26900,9956,52250,0.514832535885
36,36,36,36,0,2015,AUDI,Q5 PREMIUM,31000,39063,46000,0.673913043478
37,37,37,37,0,2014,AUDI,SQ5 PREMIUM,31000,34752,44600,0.695067264574
38,38,38,38,0,2012,AUDI,Q7 PRESTIGE,34477,102506,53100,0.649284369115
39,39,39,39,0,2015,AUDI,Q5,34477,31068,46000,0.7495
40,40,40,40,0,2014,AUDI,Q5,53750,59655,44600,0.79484304933
41,41,41,41,0,2017,AUDI,Q7 PREMIUM,53750,23264,52250,0.97129186603
42,42,42,42,0,2015,AUDI,Q5,29990,24324,46000,0.651956521739
43,43,43,43,0,2015,AUDI,Q5,29990,28703,46000,0.651956521739
44,44,44,44,0,2015,AUDI,Q5,37250,28005,46000,0.809782608696
45,45,45,45,0,2015,AUDI,Q7 PREMIUM,35997,35965,55100,0.653303085299
46,46,46,46,0,2014,AUDI,Q5,35997,55186,44600,0.807107623318
47,47,47,47,0,2015,AUDI,Q5 PREMIUM,25000,53989,46000,0.54347826087
48,48,48,48,0,2017,AUDI,Q3 PREMIUM,25000,8451,32850,0.76103500761
49,49,49,49,0,2015,AUDI,Q7 PREMIUM,26900,37625,55100,0.488203266788
50,50,50,50,0,2017,AUDI,Q7 PREMIUM,26900,9956,52250,0.514832535885
