,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
1,1,1,1,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
2,2,2,2,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
3,3,3,3,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
4,4,4,4,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
5,5,5,5,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
6,6,6,6,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
7,7,7,7,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
8,8,8,8,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
9,9,9,9,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
10,10,10,10,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
11,11,11,11,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
12,12,12,12,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
13,13,13,13,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
14,14,14,14,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
15,15,15,15,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
16,16,16,16,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
17,17,17,17,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
18,18,18,18,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
19,19,19,19,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
20,20,20,20,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
21,21,21,21,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
22,22,22,22,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
23,23,23,23,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
24,24,24,24,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
25,25,25,25,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
26,26,26,26,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
27,27,27,27,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
28,28,28,28,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
29,29,29,29,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
30,30,30,30,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
31,31,31,31,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
32,32,32,32,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
33,33,33,33,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
34,34,34,34,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
35,35,35,35,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
36,36,36,36,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
37,37,37,37,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
38,38,38,38,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
39,39,39,39,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
40,40,40,40,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
41,41,41,41,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
42,42,42,42,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
43,43,43,43,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
44,44,44,44,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
45,45,45,45,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
46,46,46,46,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
47,47,47,47,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
48,48,48,48,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
49,49,49,49,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
50,50,50,50,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
51,51,51,51,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
52,52,52,52,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
53,53,53,53,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
54,54,54,54,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
55,55,55,55,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
56,56,56,56,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
57,57,57,57,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
58,58,58,58,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
59,59,59,59,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
60,60,60,60,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
61,61,61,61,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
62,62,62,62,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
63,63,63,63,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
64,64,64,64,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
65,65,65,65,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
66,66,66,66,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
67,67,67,67,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
68,68,68,68,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
69,69,69,69,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
70,70,70,70,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
71,71,71,71,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
72,72,72,72,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
73,73,73,73,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
74,74,74,74,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
75,75,75,75,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
76,76,76,76,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
77,77,77,77,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
78,78,78,78,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
79,79,79,79,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
80,80,80,80,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
81,81,81,81,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
82,82,82,82,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
83,83,83,83,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
84,84,84,84,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
85,85,85,85,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
86,86,86,86,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
87,87,87,87,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
88,88,88,88,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
89,89,89,89,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
90,90,90,90,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
91,91,91,91,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
92,92,92,92,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
93,93,93,93,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
94,94,94,94,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
95,95,95,95,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
96,96,96,96,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
97,97,97,97,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
98,98,98,98,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
99,99,99,99,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
100,100,100,100,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
101,101,101,101,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
102,102,102,102,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
103,103,103,103,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
104,104,104,104,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
105,105,105,105,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
106,106,106,106,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
107,107,107,107,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
108,108,108,108,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
109,109,109,109,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
110,110,110,110,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
111,111,111,111,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
112,112,112,112,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
113,113,113,113,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
114,114,114,114,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
115,115,115,115,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
116,116,116,116,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
117,117,117,117,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
118,118,118,118,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
119,119,119,119,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
120,120,120,120,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
121,121,121,121,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
122,122,122,122,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
123,123,123,123,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
124,124,124,124,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
125,125,125,125,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
126,126,126,126,1,2015,CHEVROLET,TRAX LS,21979,33077,23325,0.942293676313
127,127,127,127,0,2012,CHEVROLET,EQUINOX LT,21979,69441,27250,0.806568807339
128,128,128,128,0,2017,CHEVROLET,TAHOE,22987,17407,56177,0.409188813927
129,129,129,129,0,2014,CHEVROLET,EQUINOX,22987,121835,28920,0.794847856155
130,130,130,130,0,2016,CHEVROLET,TAHOE,13995,12067,55870,0.250492214068
131,131,131,131,0,2011,CHEVROLET,EQUINOX,13995,77423,26657,0.52500281352
132,132,132,132,0,2014,CHEVROLET,EQUINOX LT,18997,52437,28920,0.656881051176
133,133,133,133,1,2016,CHEVROLET,EQUINOX,18997,24704,27145,0.699834223614
134,134,134,134,0,2007,CHEVROLET,EQUINOX,11499,126885,23395,0.491515281043
135,135,135,135,0,2015,CHEVROLET,EQUINOX LT,22997,29138,27895,0.824412977236
136,136,136,136,0,2011,CHEVROLET,TRAVERSE LT,22997,101273,34810,0.660643493249
137,137,137,137,0,2007,CHEVROLET,TRAILBLAZER,9933,107799,29332,0.338640392745
138,138,138,138,1,2015,CHEVROLET,EQUINOX LT,9933,41440,27895,0.35608531995
139,139,139,139,0,2015,CHEVROLET,EQUINOX LT,13988,24107,27895,0.501451873096
140,140,140,140,0,2011,CHEVROLET,TRAVERSE LT,13988,76628,34810,0.40183855214
