,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,0,2016,DODGE,JOURNEY,17995,39924,27345,0.658072773816
1,1,1,1,0,2011,DODGE,DURANGO,17995,70766,36607,0.49157265004
2,2,2,2,0,2015,DODGE,DURANGO,15995,33953,37195,0.430030918134
3,3,3,3,0,2017,DODGE,JOURNEY,15995,14409,27545,0.580686149936
4,4,4,4,0,2009,DODGE,JOURNEY,28992,72736,25130,0.84631914047
5,5,5,5,0,2016,DODGE,DURANGO,28992,30439,37545,0.772193367958
6,6,6,6,0,2012,DODGE,JOURNEY,17688,63800,25395,0.69651506202
7,7,7,7,0,2015,DODGE,DURANGO,17688,35909,37195,0.475547788681
8,8,8,8,0,2013,DODGE,DURANGO,8789,95350,36070,0.243665095647
9,9,9,9,0,2015,DODGE,DURANGO,8789,31201,37195,0.236295200968
10,10,10,10,0,2015,DODGE,DURANGO,26995,30929,37195,0.725769592687
11,11,11,11,0,2015,DODGE,DURANGO,26995,24108,37195,0.725769592687
12,12,12,12,0,2017,DODGE,DURANGO,11800,2305,37345,0.315972687107
13,13,13,13,0,2013,DODGE,DURANGO,11800,76559,36070,0.327141668977
14,14,14,14,0,2015,DODGE,DURANGO,29992,33268,37195,0.806344938836
15,15,15,15,0,2016,DODGE,JOURNEY,17995,39924,27345,0.658072773816
16,16,16,16,0,2011,DODGE,DURANGO,17995,70766,36607,0.49157265004
17,17,17,17,0,2015,DODGE,DURANGO,15995,33953,37195,0.430030918134
18,18,18,18,0,2017,DODGE,JOURNEY,15995,14409,27545,0.580686149936
19,19,19,19,0,2009,DODGE,JOURNEY,28992,72736,25130,0.84631914047
20,20,20,20,0,2016,DODGE,DURANGO,28992,30439,37545,0.772193367958
21,21,21,21,0,2012,DODGE,JOURNEY,17688,63800,25395,0.69651506202
22,22,22,22,0,2015,DODGE,DURANGO,17688,35909,37195,0.475547788681
23,23,23,23,0,2013,DODGE,DURANGO,8789,95350,36070,0.243665095647
24,24,24,24,0,2015,DODGE,DURANGO,8789,31201,37195,0.236295200968
25,25,25,25,0,2015,DODGE,DURANGO,26995,30929,37195,0.725769592687
26,26,26,26,0,2015,DODGE,DURANGO,26995,24108,37195,0.725769592687
27,27,27,27,0,2017,DODGE,DURANGO,11800,2305,37345,0.315972687107
28,28,28,28,0,2013,DODGE,DURANGO,11800,76559,36070,0.327141668977
29,29,29,29,0,2015,DODGE,DURANGO,29992,33268,37195,0.806344938836
