,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,2016,FORD,EXPLORER LIMITED,30874,"23,742 miles",42010,0.734920257082
1,1,1,0,2013,FORD,ESCAPE,30874,"94,234 miles",27295,0.86887708371
2,2,2,0,2008,FORD,EXPLORER LIMITED,11574,"106,772 miles",31592,0.36635857179
3,3,3,0,2015,FORD,EXPLORER,11574,"40,218 miles",36900,0.313658536585
4,4,4,0,2015,FORD,ESCAPE,10997,"36,184 miles",27467,0.400371354717
5,5,5,0,2015,FORD,EXPLORER,10997,"45,717 miles",36900,0.298021680217
6,6,6,0,2014,FORD,EDGE,26995,"45,397 miles",33825,0.79807834442
7,7,7,0,2014,FORD,EXPLORER,26995,"40,881 miles",35845,0.753103640675
8,8,8,0,2016,FORD,EDGE,17880,"45,872 miles",34800,0.513793103448
9,9,9,0,2012,FORD,EXPLORER,17880,"76,494 miles",34067,0.524848093463
10,10,10,1,2015,FORD,ESCAPE,24992,"21,018 miles",27467,0.909891870244
11,11,11,0,2015,FORD,EXPLORER,24992,"32,775 miles",36900,0.6772899729
12,12,12,0,2013,FORD,ESCAPE,20888,"62,706 miles",27295,0.765268364169
13,13,13,1,2016,FORD,ESCAPE,20888,"18,340 miles",27667,0.754978855676
14,14,14,0,2009,FORD,FLEX,20997,"104,125 miles",32680,0.642503059976
15,15,15,0,2016,FORD,EXPLORER LIMITED,30874,"23,742 miles",42010,0.734920257082
16,16,16,0,2013,FORD,ESCAPE,30874,"94,234 miles",27295,0.86887708371
17,17,17,0,2008,FORD,EXPLORER LIMITED,11574,"106,772 miles",31592,0.36635857179
18,18,18,0,2015,FORD,EXPLORER,11574,"40,218 miles",36900,0.313658536585
19,19,19,0,2015,FORD,ESCAPE,10997,"36,184 miles",27467,0.400371354717
20,20,20,0,2015,FORD,EXPLORER,10997,"45,717 miles",36900,0.298021680217
21,21,21,0,2014,FORD,EDGE,26995,"45,397 miles",33825,0.79807834442
22,22,22,0,2014,FORD,EXPLORER,26995,"40,881 miles",35845,0.753103640675
23,23,23,0,2016,FORD,EDGE,17880,"45,872 miles",34800,0.513793103448
24,24,24,0,2012,FORD,EXPLORER,17880,"76,494 miles",34067,0.524848093463
25,25,25,1,2015,FORD,ESCAPE,24992,"21,018 miles",27467,0.909891870244
26,26,26,0,2015,FORD,EXPLORER,24992,"32,775 miles",36900,0.6772899729
27,27,27,0,2013,FORD,ESCAPE,20888,"62,706 miles",27295,0.765268364169
28,28,28,1,2016,FORD,ESCAPE,20888,"18,340 miles",27667,0.754978855676
29,29,29,0,2009,FORD,FLEX,20997,"104,125 miles",32680,0.642503059976
30,30,30,0,2016,FORD,EXPLORER LIMITED,30874,"23,742 miles",42010,0.734920257082
31,31,31,0,2013,FORD,ESCAPE,30874,"94,234 miles",27295,0.86887708371
32,32,32,0,2008,FORD,EXPLORER LIMITED,11574,"106,772 miles",31592,0.36635857179
33,33,33,0,2015,FORD,EXPLORER,11574,"40,218 miles",36900,0.313658536585
34,34,34,0,2015,FORD,ESCAPE,10997,"36,184 miles",27467,0.400371354717
35,35,35,0,2015,FORD,EXPLORER,10997,"45,717 miles",36900,0.298021680217
36,36,36,0,2014,FORD,EDGE,26995,"45,397 miles",33825,0.79807834442
37,37,37,0,2014,FORD,EXPLORER,26995,"40,881 miles",35845,0.753103640675
38,38,38,0,2016,FORD,EDGE,17880,"45,872 miles",34800,0.513793103448
