,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
1,1,1,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
2,2,2,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
3,3,3,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
4,4,4,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
5,5,5,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
6,6,6,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
7,7,7,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
8,8,8,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
9,9,9,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
10,10,10,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
11,11,11,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
12,12,12,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
13,13,13,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
14,14,14,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
15,15,15,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
16,16,16,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
17,17,17,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
18,18,18,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
19,19,19,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
20,20,20,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
21,21,21,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
22,22,22,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
23,23,23,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
24,24,24,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
25,25,25,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
26,26,26,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
27,27,27,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
28,28,28,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
29,29,29,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
30,30,30,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
31,31,31,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
32,32,32,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
33,33,33,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
34,34,34,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
35,35,35,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
36,36,36,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
37,37,37,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
38,38,38,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
39,39,39,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
40,40,40,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
41,41,41,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
42,42,42,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
43,43,43,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
44,44,44,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
45,45,45,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
46,46,46,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
47,47,47,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
48,48,48,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
49,49,49,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
50,50,50,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
51,51,51,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
52,52,52,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
53,53,53,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
54,54,54,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
55,55,55,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
56,56,56,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
57,57,57,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
58,58,58,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
59,59,59,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
60,60,60,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
61,61,61,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
62,62,62,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
63,63,63,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
64,64,64,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
65,65,65,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
66,66,66,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
67,67,67,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
68,68,68,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
69,69,69,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
70,70,70,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
71,71,71,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
72,72,72,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
73,73,73,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
74,74,74,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
75,75,75,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
76,76,76,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
77,77,77,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
78,78,78,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
79,79,79,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
80,80,80,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
81,81,81,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
82,82,82,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
83,83,83,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
84,84,84,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
85,85,85,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
86,86,86,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
87,87,87,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
88,88,88,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
89,89,89,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
90,90,90,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
91,91,91,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
92,92,92,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
93,93,93,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
94,94,94,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
95,95,95,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
96,96,96,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
97,97,97,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
98,98,98,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
99,99,99,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
100,100,100,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
101,101,101,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
102,102,102,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
103,103,103,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
104,104,104,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
105,105,105,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
106,106,106,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
107,107,107,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
108,108,108,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
109,109,109,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
110,110,110,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
111,111,111,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
112,112,112,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
113,113,113,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
114,114,114,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
115,115,115,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
116,116,116,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.814849274284
117,117,117,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.209243111266
118,118,118,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.223260141422
119,119,119,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.697418904779
120,120,120,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.70320059546
121,121,121,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.70320059546
122,122,122,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509
123,123,123,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962
124,124,124,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685291
125,125,125,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824207
126,126,126,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
127,127,127,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,0.852319497733
128,128,128,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,0.89100104639
129,129,129,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.894499929667
130,130,130,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.776005670743
