,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
1,1,1,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2,2,2,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
3,3,3,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
4,4,4,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
5,5,5,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
6,6,6,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
7,7,7,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
8,8,8,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
9,9,9,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
10,10,10,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
11,11,11,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
12,12,12,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
13,13,13,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
14,14,14,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
15,15,15,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
16,16,16,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
17,17,17,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
18,18,18,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
19,19,19,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
20,20,20,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
21,21,21,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
22,22,22,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
23,23,23,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
24,24,24,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
25,25,25,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
26,26,26,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
27,27,27,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
28,28,28,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
29,29,29,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
30,30,30,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
31,31,31,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
32,32,32,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
33,33,33,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
34,34,34,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
35,35,35,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
36,36,36,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
37,37,37,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
38,38,38,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
39,39,39,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
40,40,40,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
41,41,41,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
42,42,42,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
43,43,43,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
44,44,44,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
45,45,45,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
46,46,46,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
47,47,47,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
48,48,48,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
49,49,49,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
50,50,50,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
51,51,51,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
