,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,2015,LEXUS,NX,32950,"22,770 miles",36230,0.909467292299
1,1,1,0,2010,LEXUS,RX 450H,32950,"92,509 miles",38325,0.859752120026
2,2,2,0,2015,LEXUS,RX,14900,"24,405 miles",44840,0.332292595897
3,3,3,1,2015,LEXUS,NX,14900,"34,852 miles",36230,0.411261385592
4,4,4,0,2014,LEXUS,GX 460,39850,"54,838 miles",54900,0.725865209472
5,5,5,0,2010,LEXUS,RX,39850,"70,518 miles",38325,0.96020874103
6,6,6,0,2017,LEXUS,RX 350 F,27998,"9,895 miles",46870,0.597354384468
7,7,7,0,2008,LEXUS,RX 350,27998,"117,932 miles",38100,0.734855643045
8,8,8,0,2016,LEXUS,NX,38582,"6,694 miles",36715,0.94914884924
9,9,9,0,2013,LEXUS,RX,38582,"21,466 miles",43505,0.886840593035
10,10,10,1,2016,LEXUS,GX,17950,"20,670 miles",56467,0.317884782262
11,11,11,0,2015,LEXUS,NX,17950,"18,320 miles",36230,0.49544576318
12,12,12,0,2016,LEXUS,RX,50995,"13,932 miles",45512,0.87952627878
13,13,13,0,2010,LEXUS,RX,50995,"79,840 miles",38325,0.66940639269
14,14,14,1,2016,LEXUS,NX,9700,"18,978 miles",36715,0.264197194607
15,15,15,0,2015,LEXUS,NX,32950,"22,770 miles",36230,0.909467292299
16,16,16,0,2010,LEXUS,RX 450H,32950,"92,509 miles",38325,0.859752120026
17,17,17,0,2015,LEXUS,RX,14900,"24,405 miles",44840,0.332292595897
18,18,18,1,2015,LEXUS,NX,14900,"34,852 miles",36230,0.411261385592
19,19,19,0,2014,LEXUS,GX 460,39850,"54,838 miles",54900,0.725865209472
20,20,20,0,2010,LEXUS,RX,39850,"70,518 miles",38325,0.96020874103
21,21,21,0,2017,LEXUS,RX 350 F,27998,"9,895 miles",46870,0.597354384468
22,22,22,0,2008,LEXUS,RX 350,27998,"117,932 miles",38100,0.734855643045
23,23,23,0,2016,LEXUS,NX,38582,"6,694 miles",36715,0.94914884924
24,24,24,0,2013,LEXUS,RX,38582,"21,466 miles",43505,0.886840593035
25,25,25,1,2016,LEXUS,GX,17950,"20,670 miles",56467,0.317884782262
26,26,26,0,2015,LEXUS,NX,17950,"18,320 miles",36230,0.49544576318
27,27,27,0,2016,LEXUS,RX,50995,"13,932 miles",45512,0.87952627878
28,28,28,0,2010,LEXUS,RX,50995,"79,840 miles",38325,0.66940639269
29,29,29,1,2016,LEXUS,NX,9700,"18,978 miles",36715,0.264197194607
30,30,30,0,2015,LEXUS,NX,32950,"22,770 miles",36230,0.909467292299
31,31,31,0,2010,LEXUS,RX 450H,32950,"92,509 miles",38325,0.859752120026
32,32,32,0,2015,LEXUS,RX,14900,"24,405 miles",44840,0.332292595897
33,33,33,1,2015,LEXUS,NX,14900,"34,852 miles",36230,0.411261385592
34,34,34,0,2014,LEXUS,GX 460,39850,"54,838 miles",54900,0.725865209472
35,35,35,0,2010,LEXUS,RX,39850,"70,518 miles",38325,0.96020874103
