,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,1,2016,MAZDA,CX-5,19374,"29,228 miles",25832,0.75
1,1,1,2016,MAZDA,CX-5,19374,"19,389 miles",25832,0.75
2,2,0,2009,MAZDA,TRIBUTE,22750,"78,280 miles",26087,0.872081879864
3,3,0,2012,MAZDA,CX-9 GRAND,22750,"50,644 miles",32425,0.701619121049
4,4,1,2015,MAZDA,CX-5,8874,"59,989 miles",25382,0.349617839414
5,5,1,2017,MAZDA,CX-5 GRAND,8874,"8,018 miles",27370,0.324223602484
6,6,1,2017,MAZDA,CX-5,17495,"5,539 miles",27370,0.63920350749
7,7,1,2015,MAZDA,CX-5,17495,"25,989 miles",25382,0.689267985186
8,8,1,2015,MAZDA,CX-5 GRAND,15900,"33,710 miles",25382,0.626428177449
9,9,0,2015,MAZDA,CX-5,15900,"18,708 miles",25382,0.626428177449
10,10,0,2016,MAZDA,CX-5 GRAND,30474,"20,692 miles",25832,1.1796995974
11,11,1,2017,MAZDA,CX-3,30474,"4,229 miles",23100,1.31922077922
12,12,1,2015,MAZDA,CX-5,22874,"40,372 miles",25382,0.901189819557
13,13,1,2016,MAZDA,CX-5 GRAND,22874,"47,735 miles",25832,0.885490864045
14,14,1,2015,MAZDA,CX-5 GRAND,18774,"33,427 miles",25382,0.739658025372
15,15,1,2016,MAZDA,CX-5,19374,"29,228 miles",25832,0.75
16,16,1,2016,MAZDA,CX-5,19374,"19,389 miles",25832,0.75
17,17,0,2009,MAZDA,TRIBUTE,22750,"78,280 miles",26087,0.872081879864
18,18,0,2012,MAZDA,CX-9 GRAND,22750,"50,644 miles",32425,0.701619121049
19,19,1,2015,MAZDA,CX-5,8874,"59,989 miles",25382,0.349617839414
20,20,1,2017,MAZDA,CX-5 GRAND,8874,"8,018 miles",27370,0.324223602484
21,21,1,2017,MAZDA,CX-5,17495,"5,539 miles",27370,0.63920350749
22,22,1,2015,MAZDA,CX-5,17495,"25,989 miles",25382,0.689267985186
23,23,1,2015,MAZDA,CX-5 GRAND,15900,"33,710 miles",25382,0.626428177449
24,24,0,2015,MAZDA,CX-5,15900,"18,708 miles",25382,0.626428177449
25,25,0,2016,MAZDA,CX-5 GRAND,30474,"20,692 miles",25832,1.1796995974
26,26,1,2017,MAZDA,CX-3,30474,"4,229 miles",23100,1.31922077922
27,27,1,2015,MAZDA,CX-5,22874,"40,372 miles",25382,0.901189819557
28,28,1,2016,MAZDA,CX-5 GRAND,22874,"47,735 miles",25832,0.885490864045
29,29,1,2015,MAZDA,CX-5 GRAND,18774,"33,427 miles",25382,0.739658025372
30,30,1,2016,MAZDA,CX-5,19374,"29,228 miles",25832,0.75
31,31,1,2016,MAZDA,CX-5,19374,"19,389 miles",25832,0.75
32,32,0,2009,MAZDA,TRIBUTE,22750,"78,280 miles",26087,0.872081879864
33,33,0,2012,MAZDA,CX-9 GRAND,22750,"50,644 miles",32425,0.701619121049
34,34,1,2015,MAZDA,CX-5,8874,"59,989 miles",25382,0.349617839414
35,35,1,2017,MAZDA,CX-5 GRAND,8874,"8,018 miles",27370,0.324223602484
36,36,1,2017,MAZDA,CX-5,17495,"5,539 miles",27370,0.63920350749
37,37,1,2015,MAZDA,CX-5,17495,"25,989 miles",25382,0.689267985186
38,38,1,2015,MAZDA,CX-5 GRAND,15900,"33,710 miles",25382,0.626428177449
39,39,0,2015,MAZDA,CX-5,15900,"18,708 miles",25382,0.626428177449
40,40,0,2016,MAZDA,CX-5 GRAND,30474,"20,692 miles",25832,1.1796995974
41,41,1,2017,MAZDA,CX-3,30474,"4,229 miles",23100,1.31922077922
42,42,1,2015,MAZDA,CX-5,22874,"40,372 miles",25382,0.901189819557
43,43,1,2016,MAZDA,CX-5 GRAND,22874,"47,735 miles",25832,0.885490864045
44,44,1,2015,MAZDA,CX-5 GRAND,18774,"33,427 miles",25382,0.739658025372
45,45,1,2016,MAZDA,CX-5,19374,"29,228 miles",25832,0.75
46,46,1,2016,MAZDA,CX-5,19374,"19,389 miles",25832,0.75
47,47,0,2009,MAZDA,TRIBUTE,22750,"78,280 miles",26087,0.872081879864
48,48,0,2012,MAZDA,CX-9 GRAND,22750,"50,644 miles",32425,0.701619121049
49,49,1,2015,MAZDA,CX-5,8874,"59,989 miles",25382,0.349617839414
50,50,1,2017,MAZDA,CX-5 GRAND,8874,"8,018 miles",27370,0.324223602484
51,51,1,2017,MAZDA,CX-5,17495,"5,539 miles",27370,0.63920350749
52,52,1,2015,MAZDA,CX-5,17495,"25,989 miles",25382,0.689267985186
53,53,1,2015,MAZDA,CX-5 GRAND,15900,"33,710 miles",25382,0.626428177449
54,54,0,2015,MAZDA,CX-5,15900,"18,708 miles",25382,0.626428177449
55,55,0,2016,MAZDA,CX-5 GRAND,30474,"20,692 miles",25832,1.1796995974
56,56,1,2017,MAZDA,CX-3,30474,"4,229 miles",23100,1.31922077922
57,57,1,2015,MAZDA,CX-5,22874,"40,372 miles",25382,0.901189819557
