,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
0,0,0,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
1,1,1,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
2,2,2,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
3,3,3,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
4,4,4,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
5,5,5,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
6,6,6,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
7,7,7,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
8,8,8,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
9,9,9,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
10,10,10,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
11,11,11,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
12,12,12,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
13,13,13,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
14,14,14,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
15,15,15,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
16,16,16,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
17,17,17,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
18,18,18,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
19,19,19,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
20,20,20,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
21,21,21,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
22,22,22,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
23,23,23,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
24,24,24,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
25,25,25,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
26,26,26,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
27,27,27,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
28,28,28,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
29,29,29,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
30,30,30,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
31,31,31,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
32,32,32,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
33,33,33,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
34,34,34,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
35,35,35,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
36,36,36,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
37,37,37,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
38,38,38,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
39,39,39,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
40,40,40,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
41,41,41,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
42,42,42,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
43,43,43,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
44,44,44,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
45,45,45,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
46,46,46,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
47,47,47,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
48,48,48,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
49,49,49,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
50,50,50,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
51,51,51,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
52,52,52,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
53,53,53,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
54,54,54,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
55,55,55,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
56,56,56,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
57,57,57,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
58,58,58,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
59,59,59,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
60,60,60,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
61,61,61,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
62,62,62,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
63,63,63,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
64,64,64,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
65,65,65,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
66,66,66,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
67,67,67,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
68,68,68,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
69,69,69,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
70,70,70,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
71,71,71,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
72,72,72,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
73,73,73,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
74,74,74,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
75,75,75,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
76,76,76,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
77,77,77,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
78,78,78,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
79,79,79,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
80,80,80,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
81,81,81,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
82,82,82,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
83,83,83,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
84,84,84,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
