,year,brand,model,mileage,D_rate,PC
0,2015,ACURA,MDX,29825,6,1
1,2016,ACURA,MDX,8801,6,1
2,2015,ACURA,MDX,53040,8,1
3,2016,ACURA,MDX,35477,2,1
4,2014,ACURA,MDX TECHNOLOGY,45234,2,1
5,2015,ACURA,RDX,28447,7,1
6,2015,ACURA,RDX,11917,7,1
7,2015,ACURA,RDX,47950,9,1
8,2015,ACURA,RDX,57452,7,1
9,2015,ACURA,RDX,31813,7,1
10,2015,ACURA,MDX,24892,6,1
11,2015,ACURA,MDX,29825,6,1
12,2016,ACURA,MDX,8801,6,1
13,2015,ACURA,MDX,53040,8,1
14,2016,ACURA,MDX,35477,2,1
15,2014,ACURA,MDX TECHNOLOGY,45234,2,1
16,2015,ACURA,RDX,28447,7,1
17,2015,ACURA,RDX,11917,7,1
18,2015,ACURA,RDX,47950,9,1
19,2015,ACURA,RDX,57452,7,1
20,2015,ACURA,RDX,31813,7,1
21,2015,ACURA,MDX,24892,6,1
22,2015,ACURA,MDX,29825,6,1
23,2016,ACURA,MDX,8801,6,1
24,2015,ACURA,MDX,53040,8,1
25,2016,ACURA,MDX,35477,2,1
26,2014,ACURA,MDX TECHNOLOGY,45234,2,1
27,2015,ACURA,RDX,28447,7,1
28,2015,ACURA,RDX,11917,7,1
29,2015,ACURA,RDX,47950,9,1
30,2015,ACURA,RDX,57452,7,1
31,2015,ACURA,RDX,31813,7,1
32,2015,ACURA,MDX,24892,6,1
33,2015,ACURA,MDX,29825,6,1
34,2016,ACURA,MDX,8801,6,1
35,2015,ACURA,MDX,53040,8,1
36,2016,ACURA,MDX,35477,2,1
37,2014,ACURA,MDX TECHNOLOGY,45234,2,1
38,2015,ACURA,RDX,28447,7,1
39,2015,ACURA,RDX,11917,7,1
40,2015,ACURA,RDX,47950,9,1
41,2015,ACURA,RDX,57452,7,1
42,2015,ACURA,RDX,31813,7,1
43,2015,ACURA,MDX,24892,6,1
44,2015,ACURA,MDX,29825,6,1
45,2016,ACURA,MDX,8801,6,1
46,2015,ACURA,MDX,53040,8,1
47,2016,ACURA,MDX,35477,2,1
48,2014,ACURA,MDX TECHNOLOGY,45234,2,1
49,2015,ACURA,RDX,28447,7,1
50,2015,ACURA,RDX,11917,7,1
51,2015,ACURA,RDX,47950,9,1
52,2015,ACURA,RDX,57452,7,1
53,2015,ACURA,RDX,31813,7,1
54,2015,ACURA,MDX,24892,6,1
55,2015,ACURA,MDX,29825,6,1
56,2016,ACURA,MDX,8801,6,1
57,2015,ACURA,MDX,53040,8,1
58,2016,ACURA,MDX,35477,2,1
59,2014,ACURA,MDX TECHNOLOGY,45234,2,1
60,2015,ACURA,RDX,28447,7,1
61,2015,ACURA,RDX,11917,7,1
62,2015,ACURA,RDX,47950,9,1
63,2015,ACURA,RDX,57452,7,1
64,2015,ACURA,RDX,31813,7,1
65,2015,ACURA,MDX,24892,6,1
66,2015,ACURA,MDX,29825,6,1
67,2016,ACURA,MDX,8801,6,1
68,2015,ACURA,MDX,53040,8,1
69,2016,ACURA,MDX,35477,2,1
70,2014,ACURA,MDX TECHNOLOGY,45234,2,1
71,2015,ACURA,RDX,28447,7,1
72,2015,ACURA,RDX,11917,7,1
73,2015,ACURA,RDX,47950,9,1
74,2015,ACURA,RDX,57452,7,1
75,2015,ACURA,RDX,31813,7,1
76,2015,ACURA,MDX,24892,6,1
77,2015,ACURA,MDX,29825,6,1
78,2016,ACURA,MDX,8801,6,1
79,2015,ACURA,MDX,53040,8,1
80,2016,ACURA,MDX,35477,2,1
81,2014,ACURA,MDX TECHNOLOGY,45234,2,1
82,2015,ACURA,RDX,28447,7,1
83,2015,ACURA,RDX,11917,7,1
84,2015,ACURA,RDX,47950,9,1
85,2015,ACURA,RDX,57452,7,1
86,2015,ACURA,RDX,31813,7,1
87,2015,ACURA,MDX,24892,6,1
88,2015,ACURA,MDX,29825,6,1
89,2016,ACURA,MDX,8801,6,1
90,2015,ACURA,MDX,53040,8,1
91,2016,ACURA,MDX,35477,2,1
92,2014,ACURA,MDX TECHNOLOGY,45234,2,1
93,2015,ACURA,RDX,28447,7,1
94,2015,ACURA,RDX,11917,7,1
95,2015,ACURA,RDX,47950,9,1
96,2015,ACURA,RDX,57452,7,1
97,2015,ACURA,RDX,31813,7,1
98,2015,ACURA,MDX,24892,6,1
99,2015,ACURA,MDX,29825,6,1
100,2016,ACURA,MDX,8801,6,1
101,2015,ACURA,MDX,53040,8,1
102,2016,ACURA,MDX,35477,2,1
103,2014,ACURA,MDX TECHNOLOGY,45234,2,1
104,2015,ACURA,RDX,28447,7,1
105,2015,ACURA,RDX,11917,7,1
106,2015,ACURA,RDX,47950,9,1
107,2015,ACURA,RDX,57452,7,1
108,2015,ACURA,RDX,31813,7,1
109,2015,ACURA,MDX,24892,6,1
