,0,1 
0,2015 ACURA MDX,49872 
1,2016 ACURA MDX,50122 
2,2014 ACURA MDX TECHNOLOGY,49397 
3,2015 ACURA RDX,37645 
4,2015 AUDI Q7 PREMIUM,55100 
5,2014 AUDI Q5,44600 
6,2015 AUDI Q5 PREMIUM,46000 
7,2017 AUDI Q3 PREMIUM,32850 
8,2017 AUDI Q7 PREMIUM,52250 
9,2014 AUDI SQ5 PREMIUM,44600 
10,2012 AUDI Q7 PRESTIGE,53100 
11,2015 AUDI Q5,46000 
12,2012 MERCEDES-BENZ GL-CLASS GL 450,73435 
13,2017 MERCEDES-BENZ GLS 450,95550 
14,2015 MERCEDES-BENZ M-CLASS ML 350,73350 
15,2013 MERCEDES-BENZ M-CLASS ML 350,71685 
16,2011 MERCEDES-BENZ GLK 350,36500 
17,2017 MERCEDES-BENZ GLE 350,81325 
18,2007 MERCEDES-BENZ GL-CLASS GL 450,53650 
19,2014 MERCEDES-BENZ GL-CLASS GL 450,90580 
20,2015 MERCEDES-BENZ M-CLASS ML 250,73350 
21,2013 MERCEDES-BENZ GLK 350,38000 
22,2014 MERCEDES-BENZ GLK 350,38480 
23,2015 BMW X5,76300 
24,2018 BMW X4,53425 
25,2017 BMW X5,78650 
26,2016 BMW X5,76350 
27,2014 BMW X5,60500 
28,2017 BMW X6,83300 
29,2017 BMW X3,44500 
30,2012 BMW X5 XDRIVE35I SPORT,55850 
31,2013 BMW X6,65100 
32,2017 BMW X1,34750 
33,2011 BMW X6,72950 
34,2008 BMW X5,50500 
35,2015 CHEVROLET EQUINOX LT,27895 
36,2011 CHEVROLET TRAVERSE LT,34810 
37,2007 CHEVROLET TRAILBLAZER,29332 
38,2015 CHEVROLET TRAX LS,23325 
39,2012 CHEVROLET EQUINOX LT,27250 
40,2017 CHEVROLET TAHOE,56177 
41,2014 CHEVROLET EQUINOX,28920 
42,2016 CHEVROLET TAHOE,55870 
43,2011 CHEVROLET EQUINOX,26657 
44,2014 CHEVROLET EQUINOX LT,28920 
45,2016 CHEVROLET EQUINOX,27145 
46,2007 CHEVROLET EQUINOX,23395 
47,2016 DODGE JOURNEY,27345 
48,2011 DODGE DURANGO,36607 
49,2015 DODGE DURANGO,37195 
50,2017 DODGE JOURNEY,27545 
51,2009 DODGE JOURNEY,25130 
52,2016 DODGE DURANGO,37545 
53,2012 DODGE JOURNEY,25395 
54,2013 DODGE DURANGO,36070 
55,2017 DODGE DURANGO,37345 
56,2014 DODGE DURANGO,36695 
57,2016 FORD EXPLORER LIMITED,42010 
58,2013 FORD ESCAPE,27295 
59,2008 FORD EXPLORER LIMITED,31592 
60,2015 FORD EXPLORER,36900 
61,2015 FORD ESCAPE,27467 
62,2014 FORD EDGE,33825 
63,2014 FORD EXPLORER,35845 
